Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Vainatrakis 2,1913,Rokeliai–Vainatrakis–Pakuonis,15,2023-11-15,09:01:17,,0,0.0,0,,0,0.0,0
Aukštvilkiai,4526,Lauksargiai–Aukštvilkiai,15,2023-11-15,09:00:37,negative,3,70.93,normal,positive,2,58.9,heavy
Kaišiadorys,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,277,99.49,heavy,negative,84,110.26,normal
Šaukava,174,Ukmergė–Raguva–Nevėžis,15,2023-11-15,09:01:12,positive,21,74.89,heavy,negative,19,81.48,normal
Lapės,232,Vilijampolė–Žeimiai–Šėta,15,2023-11-15,09:01:23,negative,45,83.28,normal,positive,34,85.23,normal
Paberžis,A2,Vilnius–Panevėžys,15,2023-11-15,09:01:11,positive,59,94.13,slow,negative,72,97.55,heavy
Vejukai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,83,100.4,heavy,positive,98,100.92,heavy
Antupiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:00,negative,47,78.09,normal,positive,53,78.33,normal
Kapitoniškės,188,Rumšiškės–Tadarava,15,2023-11-15,09:01:23,negative,23,81.2,normal,positive,19,82.07,normal
Eigirgala,222,Kaunas–Vandžiogala,15,2023-11-15,09:00:58,positive,10,70.03,normal,negative,12,63.0,slow
Gumiltėnai,2111,Ramučiai–Vidsodis–Luokė,15,2023-11-15,09:00:38,negative,1,69.7,normal,positive,0,,normal
Didysis Pirčiupys,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,47,71.99,heavy,negative,62,68.93,heavy
Bartkuškis II,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:40,positive,0,,normal,negative,261,86.08,slow
Šilai,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:45,negative,83,104.53,heavy,positive,61,107.58,heavy
Gabšiai,146,Raseiniai–Šilinė,15,2023-11-15,09:01:38,negative,34,81.7,normal,positive,29,86.76,normal
Biruliškės 3,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:00:05,negative,0,,normal,positive,0,,normal
Galmenai,4524,Tauragė–Norkaičiai,15,2023-11-15,09:00:29,positive,0,,normal,negative,0,,normal
Pakalniškiai II,4207,Žemaičių Naumiestis–Teneniai–Pajūralis,15,2023-11-15,09:00:28,positive,2,53.0,normal,negative,2,47.3,slow
Užliedžiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Antapusinis,3508,Viduklės g. st.–Plačiuva–Paupys,15,2023-11-15,09:00:42,positive,0,,normal,negative,0,,normal
Gaudžiai,203,Kuršėnų aplinkkelis,15,2023-11-15,09:01:38,positive,70,89.26,normal,negative,35,88.46,normal
Biruliškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,655,39.39,slow,positive,512,88.28,normal
Paluknys,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,59,72.08,heavy,negative,53,80.31,heavy
Antalgė,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:08,negative,31,90.41,normal,positive,31,90.1,normal
Bernotiškiai,A2,Vilnius–Panevėžys,15,2023-11-15,09:01:14,positive,146,79.49,slow,negative,0,,normal
Pasvalys,205,Pasvalio aplinkkelis,15,2023-11-15,09:01:36,positive,11,68.33,heavy,negative,14,73.38,heavy
Bačkonys,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,1340,169.69,normal,positive,0,,normal
Ąžuolytė,3018,Krekenava–Linkaučiai–Truskava,15,2023-11-15,09:00:29,negative,0,,normal,positive,1,74.2,normal
Visbarai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Alvitas,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:40,negative,36,59.23,normal,positive,22,68.9,normal
Kloviškiai,5316,Baibiai–Kloviškiai–Vajasiškis,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Šlapšilė,228,Dauparai–Gargždai–Vėžaičiai,15,2023-11-15,09:01:45,negative,37,72.44,heavy,positive,57,69.21,heavy
Ramygala,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:00,negative,53,80.05,heavy,positive,53,82.44,heavy
Skardupiai,3807,Kiduliai–Gelgaudiškis–Gerdžiūnai,15,2023-11-15,09:00:18,positive,0,,normal,negative,0,,normal
Latava,175,Pagojė–Sedeikiai–Viešintos–Nociūnai,15,2023-11-15,09:00:43,positive,12,76.88,normal,negative,7,74.27,normal
Radikiai,210,Joniškio aplinkkelis,15,2023-11-15,09:01:39,negative,16,91.04,normal,positive,29,89.24,normal
Gedėliškė,4104,Šilalė–Didkiemis,15,2023-11-15,09:00:27,positive,2,75.45,normal,negative,0,,normal
Perloja,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,negative,23,85.5,normal,positive,12,84.86,normal
